구분	경로	이전_SHA256	이전_bytes	현재_SHA256	현재_bytes
변경	scripts/process_item_images.py	967bd4eedf704ad66060545d63c0a8f24331089d4ad07699e6721d403ad35cf5	6014	5f0bdd458c599ed48bda4b782dc291854dae23194d79931e8ece8ba422c4cedc	7535
추가	itemImages/thumb/item_1.png	-	0	8138fe65998cd9d658503e7118c6978c418629037d4dd367a4f5f44fb22a8439	3516
추가	itemImages/thumb/item_10.png	-	0	5418ef5ad80b002cf75d660b76d7b6c89e715ac8c652abcc88ba3bad80e11567	3339
추가	itemImages/thumb/item_16.png	-	0	883e6eccd6042006d208f5b6f3ab3a870fac8627ba94b7bcba4d7f82f34fa10c	4559
추가	itemImages/thumb/item_17.png	-	0	3495f282acab12fbe994c6b8825f3f903536c0a3554041e257a5f9f076a9515e	2353
추가	itemImages/thumb/item_18.png	-	0	9f0a4a2dfab1383eab175646ab1b924b90b65d7dd2a0ef3492d9c07152f86736	2324
추가	itemImages/thumb/item_2.png	-	0	10372d9f3450e779154af737b897b9a855e5be278e5a09f1e7a9bc88ab5ded41	3366
추가	itemImages/thumb/item_20.png	-	0	6dd2311b3b92b46fa6f1ce6767262ab5eada65f7ce98166362a0989e8cc61008	3134
추가	itemImages/thumb/item_21.png	-	0	c344b7efabfe2a945b2570d56623d09e98de7c31a603ed11a7b7354a1e2cd24b	5088
추가	itemImages/thumb/item_22.png	-	0	b037817db2bfb491b394b883ce6baf771a79950a68018f662eca3dd2bc1b104b	4859
추가	itemImages/thumb/item_23.png	-	0	e752f380e8537f29c1d4f08532f5e2b57cf76c32fc772e6740f15622071dc762	2901
추가	itemImages/thumb/item_24.png	-	0	b4bfe9fe36bfe83a61cc09660f078493196b2ab00b0e1f3bece720aa32047ab8	3632
추가	itemImages/thumb/item_25.png	-	0	0775e4660475eeb7d14e65198a13861b165c41b052d89f0a7dc48a5b1390ff6f	3456
추가	itemImages/thumb/item_26.png	-	0	36424aacaf05d27690fb8200c13c9b8bba1c8ce2ff0bc5c760204ba60a7aafb9	4919
추가	itemImages/thumb/item_27.png	-	0	318afcaf7a7cd9b74fc2c909b92e9025dac1f295e78c2f2eebfcf4b6d53abb4a	3523
추가	itemImages/thumb/item_28.png	-	0	4d4768e05840ed0b13ee44b8b2fc0fd5d6109ae5ef05f0fd221a79ab0a87af9f	2383
추가	itemImages/thumb/item_29.png	-	0	465a66d48b4197d8748f779a4e1250eb6c4054d12c23dfe38dfa9b930bf9945e	2072
추가	itemImages/thumb/item_3.png	-	0	e1f033c4a2bdf9af8ab41ac9e2a5de0bcf05d779b4fb2d00bb2318d15e57825f	3062
추가	itemImages/thumb/item_30.png	-	0	c982836c5c05d633ad76332f565a70cd0d956360f81fe56be1ef2db4d30019f7	4859
추가	itemImages/thumb/item_4.png	-	0	f2ed550fd2eac0ce06637c24e32d37fd5df34bce4506a510713bdbbbdd981874	3559
추가	itemImages/thumb/item_5.png	-	0	2a5b7005678ad4ce883c0803bc6f2b3a5648ebe00a850c4519606c2f74c08fa1	4154
추가	itemImages/thumb/item_58.png	-	0	231d0cb096f89f27ddabd4ee9bcfb18caed3a674c59c6b7c4518fe159bf71f1c	3848
추가	itemImages/thumb/item_6.png	-	0	597a0016b25d69eb45babcba757ad8c52dc86423d836b8463b381c5f247233f4	4212
추가	itemImages/thumb/item_7.png	-	0	8dabb8895f5d60a9bc03dbb22d65c7c4506fc71084ce839a1b86febe1bb20278	3794
추가	itemImages/thumb/item_71.png	-	0	58bce188c2d848560c41fe0defbfe6340c62be686b2f8641b03058b239d8414f	4006
추가	itemImages/thumb/item_72.png	-	0	e2b5801332de940aee8f775c3b6f39d96fe8281d36b6881dcadeab521d8fb9e7	4251
